angry0,angry1,angry2,angry3,box0,box1,box2,box3,disgust0,disgust1,disgust2,disgust3,fear0,fear1,fear2,fear3,happy0,happy1,happy2,happy3,neutral0,neutral1,neutral2,neutral3,sad0,sad1,sad2,sad3,surprise0,surprise1,surprise2,surprise3
0.33,,,,"[55, 232, 104, 127]",,,,0.01,,,,0.26,,,,0.0,,,,0.09,,,,0.31,,,,0.0,,,
0.37,,,,"[55, 234, 103, 125]",,,,0.01,,,,0.32,,,,0.0,,,,0.04,,,,0.26,,,,0.0,,,
0.4,,,,"[56, 234, 103, 127]",,,,0.0,,,,0.26,,,,0.0,,,,0.05,,,,0.29,,,,0.0,,,
0.27,,,,"[55, 233, 103, 127]",,,,0.01,,,,0.36,,,,0.0,,,,0.05,,,,0.32,,,,0.0,,,
0.35,,,,"[56, 232, 103, 131]",,,,0.0,,,,0.3,,,,0.0,,,,0.09,,,,0.25,,,,0.0,,,
0.46,,,,"[56, 233, 103, 131]",,,,0.0,,,,0.35,,,,0.0,,,,0.03,,,,0.14,,,,0.01,,,
0.44,,,,"[56, 233, 103, 132]",,,,0.0,,,,0.32,,,,0.01,,,,0.03,,,,0.18,,,,0.01,,,
0.5,,,,"[56, 233, 103, 132]",,,,0.0,,,,0.26,,,,0.0,,,,0.03,,,,0.2,,,,0.01,,,
0.36,,,,"[56, 234, 104, 131]",,,,0.0,,,,0.33,,,,0.0,,,,0.05,,,,0.26,,,,0.01,,,
0.39,,,,"[56, 233, 103, 132]",,,,0.0,,,,0.3,,,,0.0,,,,0.05,,,,0.25,,,,0.01,,,
0.35,,,,"[56, 234, 103, 131]",,,,0.0,,,,0.31,,,,0.0,,,,0.04,,,,0.29,,,,0.01,,,
0.34,,,,"[55, 229, 107, 137]",,,,0.0,,,,0.28,,,,0.0,,,,0.06,,,,0.3,,,,0.02,,,
0.22,,,,"[54, 228, 108, 137]",,,,0.0,,,,0.33,,,,0.0,,,,0.09,,,,0.34,,,,0.01,,,
0.27,,,,"[55, 235, 103, 121]",,,,0.0,,,,0.25,,,,0.0,,,,0.09,,,,0.38,,,,0.01,,,
0.32,,,,"[56, 235, 102, 121]",,,,0.0,,,,0.23,,,,0.0,,,,0.11,,,,0.32,,,,0.01,,,
0.36,,,,"[55, 234, 102, 122]",,,,0.0,,,,0.13,,,,0.0,,,,0.14,,,,0.36,,,,0.01,,,
0.08,,,,"[54, 228, 109, 136]",,,,0.0,,,,0.38,,,,0.0,,,,0.15,,,,0.38,,,,0.01,,,
0.08,,,,"[55, 230, 107, 134]",,,,0.0,,,,0.34,,,,0.0,,,,0.16,,,,0.4,,,,0.02,,,
0.15,,,,"[56, 231, 106, 135]",,,,0.0,,,,0.29,,,,0.0,,,,0.22,,,,0.31,,,,0.04,,,
0.29,,,,"[57, 235, 105, 129]",,,,0.0,,,,0.24,,,,0.0,,,,0.09,,,,0.37,,,,0.02,,,
0.27,,,,"[57, 236, 104, 128]",,,,0.0,,,,0.31,,,,0.0,,,,0.12,,,,0.27,,,,0.03,,,
0.32,,,,"[57, 236, 103, 129]",,,,0.0,,,,0.3,,,,0.0,,,,0.12,,,,0.2,,,,0.05,,,
0.24,,,,"[57, 236, 103, 127]",,,,0.0,,,,0.26,,,,0.0,,,,0.16,,,,0.32,,,,0.0,,,
0.38,,,,"[57, 235, 103, 130]",,,,0.0,,,,0.3,,,,0.01,,,,0.1,,,,0.21,,,,0.01,,,
0.28,,,,"[57, 233, 103, 130]",,,,0.0,,,,0.29,,,,0.02,,,,0.2,,,,0.22,,,,0.0,,,
0.25,,,,"[57, 233, 103, 129]",,,,0.0,,,,0.35,,,,0.01,,,,0.14,,,,0.24,,,,0.01,,,
0.34,,,,"[57, 233, 103, 130]",,,,0.0,,,,0.37,,,,0.01,,,,0.11,,,,0.16,,,,0.01,,,
0.35,,,,"[57, 233, 103, 130]",,,,0.0,,,,0.35,,,,0.01,,,,0.11,,,,0.17,,,,0.01,,,
0.28,,,,"[57, 233, 103, 129]",,,,0.0,,,,0.33,,,,0.01,,,,0.1,,,,0.28,,,,0.01,,,
0.2,,,,"[58, 232, 103, 130]",,,,0.0,,,,0.29,,,,0.0,,,,0.24,,,,0.26,,,,0.0,,,
0.2,,,,"[58, 232, 103, 129]",,,,0.0,,,,0.27,,,,0.0,,,,0.25,,,,0.27,,,,0.01,,,
0.21,,,,"[58, 231, 103, 131]",,,,0.0,,,,0.26,,,,0.0,,,,0.27,,,,0.25,,,,0.0,,,
0.25,,,,"[58, 230, 103, 132]",,,,0.0,,,,0.24,,,,0.0,,,,0.23,,,,0.27,,,,0.01,,,
0.24,,,,"[58, 230, 103, 132]",,,,0.0,,,,0.24,,,,0.0,,,,0.24,,,,0.27,,,,0.01,,,
0.21,,,,"[57, 229, 105, 132]",,,,0.0,,,,0.25,,,,0.0,,,,0.24,,,,0.29,,,,0.01,,,
0.26,,,,"[56, 230, 104, 129]",,,,0.0,,,,0.28,,,,0.0,,,,0.19,,,,0.26,,,,0.01,,,
0.3,,,,"[56, 230, 104, 128]",,,,0.0,,,,0.21,,,,0.0,,,,0.24,,,,0.24,,,,0.0,,,
0.34,,,,"[56, 231, 104, 126]",,,,0.0,,,,0.27,,,,0.0,,,,0.2,,,,0.19,,,,0.0,,,
0.27,,,,"[55, 229, 105, 128]",,,,0.0,,,,0.29,,,,0.0,,,,0.2,,,,0.22,,,,0.01,,,
0.28,,,,"[56, 230, 104, 129]",,,,0.0,,,,0.31,,,,0.0,,,,0.18,,,,0.22,,,,0.0,,,
0.37,,,,"[54, 229, 106, 129]",,,,0.0,,,,0.24,,,,0.0,,,,0.17,,,,0.22,,,,0.01,,,
0.3,,,,"[54, 228, 106, 130]",,,,0.01,,,,0.23,,,,0.0,,,,0.22,,,,0.23,,,,0.02,,,
0.26,,,,"[55, 229, 106, 131]",,,,0.0,,,,0.21,,,,0.0,,,,0.3,,,,0.2,,,,0.02,,,
0.26,,,,"[54, 228, 106, 127]",,,,0.0,,,,0.19,,,,0.0,,,,0.37,,,,0.17,,,,0.01,,,
0.25,,,,"[54, 227, 105, 128]",,,,0.0,,,,0.25,,,,0.0,,,,0.29,,,,0.2,,,,0.01,,,
0.21,,,,"[54, 227, 105, 129]",,,,0.0,,,,0.2,,,,0.0,,,,0.39,,,,0.18,,,,0.01,,,
0.25,,,,"[53, 228, 105, 131]",,,,0.0,,,,0.26,,,,0.0,,,,0.25,,,,0.22,,,,0.02,,,
0.23,,,,"[52, 228, 105, 131]",,,,0.0,,,,0.3,,,,0.0,,,,0.18,,,,0.27,,,,0.01,,,
0.26,,,,"[51, 228, 106, 131]",,,,0.0,,,,0.26,,,,0.01,,,,0.19,,,,0.28,,,,0.01,,,
0.2,,,,"[51, 228, 105, 129]",,,,0.0,,,,0.3,,,,0.0,,,,0.19,,,,0.31,,,,0.01,,,
0.29,,,,"[52, 229, 104, 130]",,,,0.0,,,,0.29,,,,0.01,,,,0.16,,,,0.24,,,,0.01,,,
0.26,,,,"[53, 232, 105, 126]",,,,0.0,,,,0.34,,,,0.02,,,,0.12,,,,0.25,,,,0.01,,,
0.29,,,,"[52, 233, 103, 124]",,,,0.0,,,,0.39,,,,0.03,,,,0.11,,,,0.18,,,,0.01,,,
0.28,,,,"[50, 227, 106, 132]",,,,0.0,,,,0.22,,,,0.02,,,,0.25,,,,0.23,,,,0.0,,,
0.28,,,,"[50, 230, 103, 128]",,,,0.01,,,,0.37,,,,0.02,,,,0.1,,,,0.23,,,,0.0,,,
0.34,,,,"[49, 229, 104, 130]",,,,0.0,,,,0.33,,,,0.02,,,,0.07,,,,0.23,,,,0.0,,,
0.31,,,,"[49, 229, 103, 131]",,,,0.0,,,,0.31,,,,0.02,,,,0.11,,,,0.25,,,,0.0,,,
0.3,,,,"[49, 229, 103, 131]",,,,0.0,,,,0.3,,,,0.02,,,,0.11,,,,0.26,,,,0.0,,,
0.36,,,,"[48, 230, 103, 131]",,,,0.0,,,,0.33,,,,0.02,,,,0.07,,,,0.21,,,,0.01,,,
0.46,,,,"[48, 226, 105, 135]",,,,0.0,,,,0.18,,,,0.03,,,,0.09,,,,0.24,,,,0.01,,,
0.41,,,,"[47, 229, 103, 134]",,,,0.0,,,,0.29,,,,0.05,,,,0.04,,,,0.19,,,,0.02,,,
0.4,,,,"[47, 228, 103, 136]",,,,0.0,,,,0.25,,,,0.04,,,,0.06,,,,0.23,,,,0.02,,,
0.35,,,,"[49, 228, 106, 138]",,,,0.0,,,,0.23,,,,0.04,,,,0.05,,,,0.31,,,,0.03,,,
0.36,,,,"[49, 228, 106, 138]",,,,0.0,,,,0.23,,,,0.04,,,,0.04,,,,0.3,,,,0.03,,,
0.45,,,,"[47, 230, 104, 133]",,,,0.0,,,,0.24,,,,0.03,,,,0.05,,,,0.21,,,,0.02,,,
0.45,,,,"[49, 230, 102, 132]",,,,0.0,,,,0.25,,,,0.04,,,,0.06,,,,0.18,,,,0.02,,,
0.51,,,,"[49, 230, 103, 133]",,,,0.0,,,,0.21,,,,0.07,,,,0.04,,,,0.14,,,,0.03,,,
0.48,,,,"[49, 230, 103, 132]",,,,0.0,,,,0.28,,,,0.04,,,,0.06,,,,0.12,,,,0.02,,,
0.59,,,,"[49, 230, 103, 131]",,,,0.0,,,,0.2,,,,0.03,,,,0.07,,,,0.09,,,,0.01,,,
0.57,,,,"[49, 230, 103, 131]",,,,0.0,,,,0.21,,,,0.04,,,,0.08,,,,0.09,,,,0.01,,,
0.55,,,,"[50, 226, 104, 134]",,,,0.0,,,,0.17,,,,0.03,,,,0.12,,,,0.11,,,,0.01,,,
0.43,,,,"[51, 227, 104, 134]",,,,0.0,,,,0.19,,,,0.04,,,,0.19,,,,0.14,,,,0.01,,,
0.39,,,,"[50, 228, 105, 133]",,,,0.0,,,,0.2,,,,0.03,,,,0.21,,,,0.16,,,,0.01,,,
0.37,,,,"[49, 230, 105, 132]",,,,0.0,,,,0.29,,,,0.02,,,,0.13,,,,0.16,,,,0.02,,,
0.39,,,,"[50, 230, 104, 133]",,,,0.0,,,,0.25,,,,0.01,,,,0.12,,,,0.12,,,,0.11,,,
0.35,,,,"[51, 231, 104, 132]",,,,0.0,,,,0.28,,,,0.02,,,,0.1,,,,0.15,,,,0.11,,,
0.23,,,,"[50, 231, 105, 130]",,,,0.0,,,,0.26,,,,0.01,,,,0.25,,,,0.14,,,,0.11,,,
0.24,,,,"[50, 232, 105, 128]",,,,0.0,,,,0.3,,,,0.0,,,,0.2,,,,0.2,,,,0.05,,,
0.25,,,,"[51, 232, 105, 129]",,,,0.0,,,,0.19,,,,0.01,,,,0.35,,,,0.18,,,,0.02,,,
0.27,,,,"[51, 234, 104, 125]",,,,0.0,,,,0.3,,,,0.0,,,,0.16,,,,0.21,,,,0.05,,,
0.46,,,,"[50, 232, 105, 129]",,,,0.0,,,,0.24,,,,0.0,,,,0.08,,,,0.18,,,,0.04,,,
0.47,,,,"[50, 232, 105, 129]",,,,0.0,,,,0.24,,,,0.0,,,,0.07,,,,0.17,,,,0.04,,,
0.58,,,,"[50, 232, 105, 130]",,,,0.0,,,,0.16,,,,0.0,,,,0.12,,,,0.11,,,,0.03,,,
0.47,,,,"[50, 230, 106, 131]",,,,0.0,,,,0.09,,,,0.0,,,,0.23,,,,0.19,,,,0.0,,,
0.42,,,,"[51, 230, 106, 131]",,,,0.0,,,,0.13,,,,0.0,,,,0.22,,,,0.22,,,,0.01,,,
0.47,,,,"[52, 231, 105, 128]",,,,0.0,,,,0.1,,,,0.0,,,,0.24,,,,0.18,,,,0.0,,,
0.42,,,,"[53, 236, 104, 122]",,,,0.0,,,,0.15,,,,0.02,,,,0.31,,,,0.08,,,,0.03,,,
0.42,,,,"[53, 236, 104, 122]",,,,0.0,,,,0.16,,,,0.02,,,,0.3,,,,0.08,,,,0.03,,,
0.38,,,,"[53, 233, 104, 128]",,,,0.0,,,,0.33,,,,0.01,,,,0.14,,,,0.14,,,,0.02,,,
0.38,,,,"[55, 234, 102, 126]",,,,0.0,,,,0.31,,,,0.0,,,,0.11,,,,0.19,,,,0.01,,,
0.35,,,,"[54, 234, 103, 125]",,,,0.0,,,,0.32,,,,0.01,,,,0.15,,,,0.17,,,,0.01,,,
0.32,,,,"[55, 234, 102, 127]",,,,0.0,,,,0.34,,,,0.02,,,,0.1,,,,0.2,,,,0.01,,,
0.33,,,,"[54, 232, 103, 130]",,,,0.0,,,,0.33,,,,0.01,,,,0.1,,,,0.22,,,,0.01,,,
0.33,,,,"[54, 232, 103, 130]",,,,0.0,,,,0.33,,,,0.01,,,,0.1,,,,0.21,,,,0.01,,,
0.31,,,,"[55, 231, 102, 131]",,,,0.0,,,,0.23,,,,0.01,,,,0.18,,,,0.26,,,,0.0,,,
0.31,,,,"[55, 233, 103, 128]",,,,0.0,,,,0.34,,,,0.02,,,,0.11,,,,0.21,,,,0.01,,,
0.34,,,,"[55, 232, 103, 129]",,,,0.0,,,,0.31,,,,0.03,,,,0.12,,,,0.2,,,,0.01,,,
0.37,,,,"[55, 231, 103, 131]",,,,0.0,,,,0.35,,,,0.03,,,,0.09,,,,0.15,,,,0.0,,,
0.37,,,,"[56, 232, 102, 130]",,,,0.0,,,,0.33,,,,0.03,,,,0.08,,,,0.18,,,,0.0,,,
0.37,,,,"[55, 231, 103, 131]",,,,0.0,,,,0.36,,,,0.03,,,,0.08,,,,0.16,,,,0.01,,,
0.34,,,,"[55, 232, 103, 129]",,,,0.0,,,,0.37,,,,0.02,,,,0.08,,,,0.19,,,,0.0,,,
0.4,0.09,,,"[55, 229, 105, 131]","[10, 22, 13, 15]",,,0.0,0.0,,,0.23,0.05,,,0.03,0.28,,,0.16,0.48,,,0.18,0.1,,,0.0,0.0,,
0.43,0.09,,,"[56, 229, 105, 131]","[10, 22, 13, 15]",,,0.0,0.0,,,0.21,0.05,,,0.03,0.29,,,0.15,0.47,,,0.18,0.1,,,0.0,0.0,,
0.55,,,,"[56, 231, 103, 131]",,,,0.0,,,,0.27,,,,0.03,,,,0.03,,,,0.11,,,,0.0,,,
0.53,,,,"[56, 231, 104, 130]",,,,0.0,,,,0.29,,,,0.03,,,,0.03,,,,0.12,,,,0.01,,,
0.48,,,,"[56, 230, 104, 131]",,,,0.0,,,,0.26,,,,0.05,,,,0.07,,,,0.14,,,,0.0,,,
0.46,,,,"[56, 230, 105, 130]",,,,0.0,,,,0.28,,,,0.03,,,,0.08,,,,0.15,,,,0.0,,,
0.59,,,,"[57, 231, 103, 131]",,,,0.0,,,,0.24,,,,0.03,,,,0.04,,,,0.1,,,,0.0,,,
0.65,,,,"[57, 231, 103, 132]",,,,0.0,,,,0.16,,,,0.03,,,,0.04,,,,0.11,,,,0.0,,,
0.54,,,,"[57, 231, 103, 131]",,,,0.0,,,,0.28,,,,0.01,,,,0.03,,,,0.13,,,,0.01,,,
0.55,,,,"[57, 233, 103, 130]",,,,0.0,,,,0.26,,,,0.04,,,,0.03,,,,0.1,,,,0.01,,,
0.56,,,,"[57, 233, 103, 130]",,,,0.0,,,,0.26,,,,0.04,,,,0.03,,,,0.1,,,,0.01,,,
0.65,,,,"[57, 232, 103, 132]",,,,0.0,,,,0.19,,,,0.04,,,,0.03,,,,0.09,,,,0.01,,,
0.42,,,,"[57, 233, 103, 130]",,,,0.0,,,,0.25,,,,0.01,,,,0.05,,,,0.06,,,,0.21,,,
0.36,,,,"[57, 232, 104, 131]",,,,0.0,,,,0.25,,,,0.0,,,,0.1,,,,0.07,,,,0.21,,,
0.48,,,,"[57, 234, 104, 127]",,,,0.0,,,,0.24,,,,0.0,,,,0.15,,,,0.06,,,,0.08,,,
0.53,,,,"[57, 233, 105, 128]",,,,0.0,,,,0.24,,,,0.0,,,,0.1,,,,0.07,,,,0.05,,,
0.57,,,,"[57, 233, 104, 128]",,,,0.0,,,,0.25,,,,0.0,,,,0.08,,,,0.07,,,,0.04,,,
0.42,,,,"[57, 233, 105, 129]",,,,0.0,,,,0.31,,,,0.0,,,,0.09,,,,0.09,,,,0.1,,,
0.49,,,,"[58, 234, 104, 129]",,,,0.0,,,,0.27,,,,0.0,,,,0.06,,,,0.09,,,,0.07,,,
0.32,,,,"[57, 234, 105, 128]",,,,0.0,,,,0.45,,,,0.0,,,,0.02,,,,0.1,,,,0.1,,,
0.34,,,,"[58, 233, 106, 130]",,,,0.0,,,,0.41,,,,0.0,,,,0.08,,,,0.1,,,,0.06,,,
0.63,,,,"[59, 233, 107, 126]",,,,0.02,,,,0.21,,,,0.0,,,,0.05,,,,0.07,,,,0.02,,,
0.62,,,,"[59, 234, 107, 125]",,,,0.01,,,,0.21,,,,0.0,,,,0.06,,,,0.09,,,,0.01,,,
0.64,,,,"[58, 232, 105, 131]",,,,0.0,,,,0.12,,,,0.0,,,,0.12,,,,0.11,,,,0.0,,,
0.54,,,,"[58, 232, 105, 129]",,,,0.01,,,,0.13,,,,0.0,,,,0.1,,,,0.2,,,,0.02,,,
0.35,,,,"[60, 233, 106, 129]",,,,0.0,,,,0.33,,,,0.0,,,,0.08,,,,0.19,,,,0.04,,,
0.61,,,,"[59, 232, 107, 136]",,,,0.0,,,,0.14,,,,0.01,,,,0.06,,,,0.1,,,,0.07,,,
0.43,,,,"[60, 232, 106, 139]",,,,0.0,,,,0.27,,,,0.02,,,,0.07,,,,0.18,,,,0.02,,,
0.52,,,,"[60, 230, 107, 141]",,,,0.0,,,,0.23,,,,0.02,,,,0.07,,,,0.12,,,,0.02,,,
0.5,,,,"[61, 231, 106, 139]",,,,0.0,,,,0.26,,,,0.01,,,,0.11,,,,0.12,,,,0.0,,,
0.44,,,,"[62, 233, 104, 135]",,,,0.0,,,,0.22,,,,0.02,,,,0.14,,,,0.17,,,,0.0,,,
0.56,,,,"[63, 234, 103, 132]",,,,0.0,,,,0.21,,,,0.01,,,,0.06,,,,0.15,,,,0.0,,,
0.47,,,,"[63, 230, 105, 138]",,,,0.0,,,,0.16,,,,0.03,,,,0.21,,,,0.12,,,,0.0,,,
0.4,,,,"[63, 231, 105, 136]",,,,0.0,,,,0.14,,,,0.06,,,,0.24,,,,0.16,,,,0.0,,,
0.43,,,,"[63, 232, 105, 135]",,,,0.0,,,,0.16,,,,0.06,,,,0.19,,,,0.16,,,,0.0,,,
0.39,,,,"[63, 230, 105, 137]",,,,0.0,,,,0.17,,,,0.06,,,,0.22,,,,0.16,,,,0.0,,,
0.44,,,,"[62, 229, 107, 138]",,,,0.0,,,,0.15,,,,0.04,,,,0.23,,,,0.13,,,,0.0,,,
0.32,,,,"[66, 230, 106, 138]",,,,0.0,,,,0.25,,,,0.1,,,,0.16,,,,0.17,,,,0.01,,,
0.45,,,,"[66, 236, 103, 126]",,,,0.0,,,,0.15,,,,0.07,,,,0.11,,,,0.21,,,,0.01,,,
0.44,,,,"[66, 237, 103, 125]",,,,0.0,,,,0.17,,,,0.05,,,,0.12,,,,0.21,,,,0.0,,,
0.44,,,,"[66, 237, 103, 125]",,,,0.0,,,,0.17,,,,0.05,,,,0.13,,,,0.2,,,,0.0,,,
0.35,,,,"[66, 237, 103, 125]",,,,0.0,,,,0.18,,,,0.1,,,,0.23,,,,0.14,,,,0.0,,,
0.41,,,,"[66, 237, 102, 126]",,,,0.0,,,,0.23,,,,0.07,,,,0.16,,,,0.13,,,,0.0,,,
0.37,,,,"[66, 237, 104, 127]",,,,0.0,,,,0.23,,,,0.13,,,,0.09,,,,0.18,,,,0.0,,,
0.37,,,,"[67, 235, 103, 128]",,,,0.0,,,,0.24,,,,0.12,,,,0.06,,,,0.2,,,,0.01,,,
0.43,,,,"[67, 234, 103, 129]",,,,0.0,,,,0.19,,,,0.1,,,,0.1,,,,0.17,,,,0.0,,,
0.42,,,,"[67, 234, 103, 129]",,,,0.0,,,,0.2,,,,0.09,,,,0.1,,,,0.18,,,,0.01,,,
0.43,,,,"[66, 229, 104, 135]",,,,0.0,,,,0.2,,,,0.11,,,,0.09,,,,0.16,,,,0.0,,,
0.34,,,,"[67, 227, 107, 140]",,,,0.0,,,,0.21,,,,0.18,,,,0.14,,,,0.13,,,,0.01,,,
0.53,,,,"[69, 230, 105, 134]",,,,0.0,,,,0.14,,,,0.11,,,,0.08,,,,0.13,,,,0.01,,,
0.45,,,,"[70, 232, 103, 132]",,,,0.0,,,,0.2,,,,0.07,,,,0.13,,,,0.13,,,,0.01,,,
0.53,,,,"[72, 229, 103, 134]",,,,0.0,,,,0.27,,,,0.04,,,,0.04,,,,0.1,,,,0.02,,,
0.57,,,,"[72, 229, 102, 135]",,,,0.0,,,,0.22,,,,0.05,,,,0.05,,,,0.1,,,,0.02,,,
0.47,,,,"[73, 229, 103, 136]",,,,0.01,,,,0.31,,,,0.01,,,,0.05,,,,0.11,,,,0.05,,,
0.35,,,,"[74, 226, 104, 134]",,,,0.01,,,,0.4,,,,0.0,,,,0.05,,,,0.03,,,,0.16,,,
0.21,,,,"[76, 226, 104, 134]",,,,0.01,,,,0.36,,,,0.0,,,,0.05,,,,0.02,,,,0.35,,,
0.11,,,,"[76, 222, 106, 136]",,,,0.0,,,,0.34,,,,0.0,,,,0.05,,,,0.02,,,,0.49,,,
0.09,,,,"[77, 218, 104, 140]",,,,0.0,,,,0.49,,,,0.0,,,,0.08,,,,0.03,,,,0.31,,,
0.09,,,,"[77, 218, 104, 141]",,,,0.0,,,,0.57,,,,0.0,,,,0.04,,,,0.02,,,,0.28,,,
0.18,,,,"[79, 218, 102, 138]",,,,0.0,,,,0.34,,,,0.0,,,,0.26,,,,0.04,,,,0.17,,,
0.25,,,,"[81, 221, 104, 133]",,,,0.0,,,,0.29,,,,0.0,,,,0.26,,,,0.05,,,,0.16,,,
0.46,,,,"[83, 220, 102, 133]",,,,0.0,,,,0.09,,,,0.0,,,,0.39,,,,0.05,,,,0.01,,,
0.6,0.07,,,"[84, 219, 103, 133]","[11, 24, 11, 12]",,,0.03,0.0,,,0.06,0.02,,,0.0,0.6,,,0.24,0.24,,,0.06,0.07,,,0.0,0.0,,
0.66,,,,"[82, 219, 107, 138]",,,,0.02,,,,0.08,,,,0.0,,,,0.17,,,,0.07,,,,0.0,,,
0.67,,,,"[82, 219, 107, 138]",,,,0.02,,,,0.08,,,,0.0,,,,0.17,,,,0.07,,,,0.0,,,
0.72,,,,"[84, 218, 104, 139]",,,,0.02,,,,0.15,,,,0.0,,,,0.05,,,,0.06,,,,0.01,,,
0.56,,,,"[84, 218, 105, 138]",,,,0.02,,,,0.25,,,,0.01,,,,0.06,,,,0.08,,,,0.02,,,
0.45,,,,"[85, 220, 106, 136]",,,,0.05,,,,0.2,,,,0.02,,,,0.11,,,,0.15,,,,0.0,,,
0.45,,,,"[86, 221, 107, 136]",,,,0.08,,,,0.15,,,,0.01,,,,0.12,,,,0.2,,,,0.0,,,
0.45,,,,"[85, 221, 106, 138]",,,,0.17,,,,0.13,,,,0.01,,,,0.06,,,,0.18,,,,0.0,,,
0.42,,,,"[85, 221, 107, 138]",,,,0.1,,,,0.16,,,,0.01,,,,0.07,,,,0.24,,,,0.0,,,
0.38,,,,"[85, 221, 105, 139]",,,,0.51,,,,0.05,,,,0.0,,,,0.01,,,,0.05,,,,0.0,,,
0.7,,,,"[87, 221, 103, 138]",,,,0.09,,,,0.13,,,,0.0,,,,0.01,,,,0.06,,,,0.01,,,
0.65,,,,"[87, 221, 103, 134]",,,,0.23,,,,0.06,,,,0.0,,,,0.01,,,,0.03,,,,0.01,,,
0.65,,,,"[89, 221, 101, 131]",,,,0.17,,,,0.08,,,,0.0,,,,0.04,,,,0.06,,,,0.01,,,
0.67,,,,"[89, 220, 100, 130]",,,,0.14,,,,0.09,,,,0.0,,,,0.04,,,,0.06,,,,0.0,,,
0.56,,,,"[89, 221, 100, 130]",,,,0.23,,,,0.11,,,,0.0,,,,0.04,,,,0.06,,,,0.01,,,
0.56,,,,"[88, 221, 101, 130]",,,,0.14,,,,0.15,,,,0.0,,,,0.07,,,,0.08,,,,0.01,,,
0.7,,,,"[88, 221, 101, 131]",,,,0.1,,,,0.1,,,,0.0,,,,0.05,,,,0.05,,,,0.0,,,
0.65,,,,"[87, 221, 103, 134]",,,,0.11,,,,0.11,,,,0.0,,,,0.06,,,,0.06,,,,0.0,,,
0.51,,,,"[88, 228, 103, 130]",,,,0.2,,,,0.14,,,,0.0,,,,0.03,,,,0.11,,,,0.01,,,
0.6,,,,"[85, 223, 107, 137]",,,,0.09,,,,0.11,,,,0.0,,,,0.07,,,,0.13,,,,0.0,,,
0.4,,,,"[86, 223, 107, 135]",,,,0.13,,,,0.16,,,,0.01,,,,0.1,,,,0.19,,,,0.01,,,
0.39,,,,"[86, 224, 106, 136]",,,,0.05,,,,0.22,,,,0.02,,,,0.09,,,,0.23,,,,0.0,,,
0.24,,,,"[86, 224, 106, 133]",,,,0.4,,,,0.1,,,,0.0,,,,0.09,,,,0.18,,,,0.0,,,
0.24,,,,"[89, 227, 101, 130]",,,,0.55,,,,0.05,,,,0.01,,,,0.04,,,,0.12,,,,0.0,,,
0.36,,,,"[89, 226, 100, 131]",,,,0.32,,,,0.17,,,,0.0,,,,0.01,,,,0.14,,,,0.0,,,
0.24,,,,"[88, 226, 101, 132]",,,,0.55,,,,0.1,,,,0.0,,,,0.01,,,,0.09,,,,0.0,,,
0.26,,,,"[88, 226, 101, 132]",,,,0.53,,,,0.11,,,,0.0,,,,0.01,,,,0.1,,,,0.0,,,
0.37,,,,"[87, 226, 101, 133]",,,,0.46,,,,0.08,,,,0.0,,,,0.01,,,,0.09,,,,0.0,,,
0.53,,,,"[85, 226, 104, 136]",,,,0.3,,,,0.07,,,,0.01,,,,0.02,,,,0.08,,,,0.0,,,
0.43,,,,"[85, 228, 105, 134]",,,,0.18,,,,0.1,,,,0.05,,,,0.06,,,,0.17,,,,0.0,,,
0.37,,,,"[87, 233, 107, 132]",,,,0.26,,,,0.12,,,,0.01,,,,0.03,,,,0.19,,,,0.0,,,
0.33,,,,"[87, 227, 107, 140]",,,,0.36,,,,0.09,,,,0.02,,,,0.03,,,,0.16,,,,0.01,,,
0.37,,,,"[85, 228, 105, 135]",,,,0.34,,,,0.08,,,,0.04,,,,0.03,,,,0.13,,,,0.0,,,
0.18,0.12,,,"[85, 225, 106, 133]","[10, 22, 13, 15]",,,0.44,0.0,,,0.19,0.05,,,0.0,0.27,,,0.02,0.44,,,0.17,0.13,,,0.0,0.0,,
0.44,,,,"[86, 223, 103, 132]",,,,0.13,,,,0.07,,,,0.02,,,,0.05,,,,0.29,,,,0.0,,,
0.42,,,,"[85, 219, 104, 135]",,,,0.3,,,,0.08,,,,0.0,,,,0.04,,,,0.15,,,,0.0,,,
0.46,,,,"[84, 217, 102, 135]",,,,0.18,,,,0.12,,,,0.0,,,,0.05,,,,0.17,,,,0.0,,,
0.27,,,,"[83, 217, 101, 132]",,,,0.34,,,,0.15,,,,0.0,,,,0.06,,,,0.17,,,,0.0,,,
0.29,,,,"[83, 217, 101, 132]",,,,0.35,,,,0.14,,,,0.0,,,,0.06,,,,0.16,,,,0.0,,,
0.49,,,,"[83, 215, 100, 124]",,,,0.15,,,,0.09,,,,0.0,,,,0.15,,,,0.11,,,,0.0,,,
0.3,,,,"[83, 212, 101, 125]",,,,0.3,,,,0.19,,,,0.0,,,,0.09,,,,0.11,,,,0.0,,,
0.17,,,,"[82, 208, 100, 131]",,,,0.05,,,,0.45,,,,0.0,,,,0.1,,,,0.22,,,,0.01,,,
0.25,,,,"[79, 212, 101, 126]",,,,0.12,,,,0.21,,,,0.0,,,,0.18,,,,0.24,,,,0.0,,,
0.18,,,,"[80, 216, 99, 125]",,,,0.57,,,,0.11,,,,0.0,,,,0.04,,,,0.09,,,,0.0,,,
0.17,,,,"[79, 216, 100, 125]",,,,0.61,,,,0.1,,,,0.0,,,,0.04,,,,0.08,,,,0.0,,,
